"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1533.15807293711
"FDW14","OUT017",1433.8983031813
"NCN55","OUT010",864.042163214311
"FDQ58","OUT017",2498.68915620849
"FDY38","OUT027",5213.50173410449
"FDH56","OUT046",1889.20289433654
"FDL48","OUT018",758.100493214887
"FDC48","OUT027",1613.28147307583
"FDN33","OUT045",1531.52558952631
"FDA36","OUT017",3036.74728969102
"FDT44","OUT017",1921.80604518692
"FDQ56","OUT045",1280.45554144907
"NCC54","OUT019",695.867858103813
"FDU11","OUT049",2110.70959149263
"DRL59","OUT013",767.681826061574
"FDM24","OUT049",3029.72401253752
"FDI57","OUT045",2793.41158961858
"DRC12","OUT018",2446.79220937719
"NCM42","OUT027",2605.91850567585
"FDA46","OUT010",434.476312963873
"FDA31","OUT013",2999.43794141339
"NCJ31","OUT035",2993.61197854327
"FDG52","OUT046",724.930220826812
"NCL19","OUT019",281.793420727845
"FDS10","OUT035",2791.84077674115
"FDX22","OUT010",605.215915177161
"NCF19","OUT035",625.880663808405
"NCE06","OUT046",2824.84435569809
"DRC27","OUT046",3671.76989269548
"FDE21","OUT035",1793.77135394283
"NCR42","OUT019",181.346701248263
"FDX51","OUT018",2699.03456313891
"NCR06","OUT018",502.190092791513
"FDU31","OUT027",5253.83106645549
"FDU59","OUT017",2669.62759137609
"FDR03","OUT027",5139.86909129092
"FDS49","OUT027",2230.29340886799
"FDD48","OUT010",211.52253925781
"NCF18","OUT017",3046.47603744408
"NCD43","OUT027",2519.11500888571
"NCD54","OUT018",1985.45268585483
"FDY19","OUT010",256.600631152391
"NCY54","OUT017",2702.26751828585
"NCL19","OUT018",2007.27776565968
"FDP23","OUT010",450.038905531713
"FDC26","OUT013",1822.10044150003
"FDR14","OUT010",38.7582570407351
"NCS41","OUT035",2911.69562702711
"FDF41","OUT035",3687.8376850504
"FDU34","OUT046",1752.41046838869
"DRH11","OUT046",983.375609757935
"FDM03","OUT013",2008.94532121456
"FDS31","OUT017",3026.36222451113
"FDJ20","OUT017",1893.58403038003
"FDV44","OUT027",4888.41336822668
"FDG02","OUT049",3316.14935779962
"FDA09","OUT013",3288.1300315279
"FDT04","OUT013",429.287396594759
"FDL58","OUT019",857.242651863962
"FDE52","OUT045",1320.5384626437
"FDW12","OUT035",2617.72425317009
"FDL51","OUT017",3214.08718218254
"NCY42","OUT027",3252.03444682857
"FDR07","OUT017",1433.46108781757
"FDN40","OUT045",2142.13531411777
"FDB35","OUT027",2142.15980174213
"FDA22","OUT017",2230.30125315671
"NCL06","OUT046",3573.20882281033
"FDI35","OUT013",2890.83211981112
"NCW42","OUT045",3301.40548713358
"NCX06","OUT049",3079.11427706506
"FDC37","OUT027",2433.95133863906
"FDZ14","OUT018",1644.11510250789
"DRG49","OUT049",3737.16249744036
"NCG06","OUT045",3574.13061065222
"DRC36","OUT045",2958.42591890485
"FDV21","OUT019",322.040648774374
"FDB53","OUT046",2324.93593550597
"DRP47","OUT019",487.389757832949
"FDA14","OUT013",2390.88047021768
"DRC24","OUT035",2488.75626613016
"FDW21","OUT018",1610.99524995547
"NCH29","OUT046",1784.2622343445
"FDU58","OUT013",2812.65356753973
"FDY27","OUT017",2800.9808751522
"FDV56","OUT035",1813.05410029929
"FDT59","OUT046",3728.09880584082
"FDB23","OUT046",3097.47869568497
"FDR49","OUT045",882.204190917313
"FDB03","OUT010",876.400878126783
"FDN39","OUT045",2655.97775148968
"FDX02","OUT027",4829.48627150441
"FDQ16","OUT027",2742.25640075681
"FDU35","OUT018",1563.74748856519
"NCT29","OUT013",1539.06227823821
"FDZ27","OUT046",762.47224512993
"FDN57","OUT017",2352.84601517949
"FDA03","OUT018",1843.87836152751
"FDZ36","OUT045",3350.11892587544
"NCU05","OUT013",956.492814458338
"FDT39","OUT018",2204.75889889376
"FDK60","OUT017",1376.13806692123
"FDZ25","OUT017",2768.95744070994
"FDG12","OUT046",2310.9034613673
"DRB01","OUT019",529.308376892401
"NCC43","OUT027",4839.71997572082
"FDX13","OUT019",685.753792231287
"FDM22","OUT049",759.68924975453
"FDJ03","OUT027",1440.86614801757
"FDU14","OUT018",2988.46587150286
"FDB33","OUT010",422.035284924571
"FDP27","OUT046",2759.06160779804
"FDO38","OUT010",199.79647141419
"FDE28","OUT027",5369.66288898693
"FDO27","OUT035",1543.45498726924
"DRL23","OUT027",2887.18295458069
"FDS28","OUT046",947.160679162901
"FDX24","OUT013",1062.8687508077
"FDZ02","OUT035",1553.22769994263
"FDL46","OUT045",1692.46022765559
"FDS60","OUT027",3398.85898608556
"NCO06","OUT017",611.276489263516
"FDO16","OUT035",1314.53106857199
"FDC60","OUT049",1732.8702154369
"FDA48","OUT018",2985.0801207492
"FDZ36","OUT027",4660.53564554078
"FDK27","OUT045",1733.77634236784
"FDW23","OUT018",674.250035631025
"FDM14","OUT018",1475.04224685914
"FDM14","OUT013",1668.02171762869
"FDW60","OUT018",2494.48642850745
"FDE21","OUT013",1773.20100518149
"NCM42","OUT035",1790.59696347412
"FDY59","OUT010",203.395184253156
"DRI49","OUT049",1368.1036897806
"FDT28","OUT019",310.375188658386
"FDQ22","OUT018",279.044196652636
"FDR60","OUT049",1251.08164473494
"FDC50","OUT019",254.817323676572
"FDV24","OUT013",2437.74759415726
"DRF48","OUT010",395.365343162453
"FDQ47","OUT046",803.231494625
"DRN36","OUT049",1554.91313579774
"NCY06","OUT035",2114.12658355842
"FDE52","OUT035",1380.46919072877
"NCB54","OUT045",2001.52747191524
"NCF31","OUT035",2480.71449321773
"FDJ08","OUT027",4879.49169627128
"NCC07","OUT017",1872.487555768
"NCD19","OUT027",1414.624449648
